,p,p_1,odds,score,no_of_alerts,true_alerts,FPR,TPR,FN,TN,FP,TP,percentage,no_of_alerts_mon,no_of_alerts_days,perc_alerts,perc_savings,type2error,False_alert,FTE_costs,Mis_costs,Tot_costs,Per_of_Current_Cost,,
171,0.1499,0.8501,0.176332196,374,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.775,834,28,0.996415771,0.003584229,0.01315,0.079866889,100128,2100,102228,0.63,,
172,0.1449,0.8551,0.169453865,372,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.78,834,28,0.996415771,0.003584229,0.0127,0.079866889,100128,2100,102228,1.017801673,,
173,0.1399,0.8601,0.162655505,369,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.785,834,28,0.996415771,0.003584229,0.01225,0.079866889,100128,2100,102228,1.017801673,,
174,0.1349,0.8651,0.15593573,367,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.79,834,28,0.996415771,0.003584229,0.0118,0.079866889,100128,2100,102228,1.017801673,,
175,0.1299,0.8701,0.149293185,364,8344,4195,0.996637041,0.997147611,12,14,4149,4195,0.795,834,28,0.996415771,0.003584229,0.01135,0.079866889,100128,2100,102228,1.017801673,,
176,0.1249,0.8751,0.142726546,362,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.8,836,28,0.998805257,0.001194743,0.0109,0.046589018,100272,1225,101497,1.010523696,,
177,0.1199,0.8801,0.136234519,359,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.805,836,28,0.998805257,0.001194743,0.01045,0.046589018,100272,1225,101497,1.010523696,,0.00045
178,0.1149,0.8851,0.12981584,356,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.81,836,28,0.998805257,0.001194743,0.01,0.046589018,100272,1225,101497,1.010523696,,
179,0.1099,0.8901,0.123469273,354,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.815,836,28,0.998805257,0.001194743,0.00955,0.046589018,100272,1225,101497,1.010523696,,
180,0.1049,0.8951,0.11719361,351,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.82,836,28,0.998805257,0.001194743,0.0091,0.046589018,100272,1225,101497,1.010523696,,
181,0.0999,0.9001,0.110987668,347,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.825,836,28,0.998805257,0.001194743,0.00865,0.046589018,100272,1225,101497,1.010523696,,
182,0.0949,0.9051,0.104850293,344,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.83,836,28,0.998805257,0.001194743,0.0082,0.046589018,100272,1225,101497,1.010523696,,
183,0.0899,0.9101,0.098780354,341,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.835,836,28,0.998805257,0.001194743,0.00775,0.046589018,100272,1225,101497,1.010523696,,
184,0.0849,0.9151,0.092776746,337,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.84,836,28,0.998805257,0.001194743,0.0073,0.046589018,100272,1225,101497,1.010523696,,
185,0.0799,0.9201,0.086838387,333,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.85,836,28,0.998805257,0.001194743,0.00685,0.046589018,100272,1225,101497,1.010523696,,
186,0.0749,0.9251,0.08096422,329,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.86,836,28,0.998805257,0.001194743,0.0064,0.046589018,100272,1225,101497,0.87,,
187,0.0699,0.9301,0.075153209,325,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.87,836,28,0.998805257,0.001194743,0.00595,0.046589018,100272,1225,101497,1.010523696,,
188,0.0649,0.9351,0.069404342,320,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.88,836,28,0.998805257,0.001194743,0.0055,0.046589018,100272,1225,101497,1.010523696,,
189,0.0599,0.9401,0.063716626,315,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.89,836,28,0.998805257,0.001194743,0.00505,0.046589018,100272,1225,101497,1.010523696,,
190,0.0549,0.9451,0.058089091,310,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.9,836,28,0.998805257,0.001194743,0.0046,0.046589018,100272,1225,101497,1.010523696,,
191,0.0499,0.9501,0.052520787,304,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.91,836,28,0.998805257,0.001194743,0.00415,0.046589018,100272,1225,101497,1.010523696,,
192,0.0449,0.9551,0.047010784,298,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.92,836,28,0.998805257,0.001194743,0.0037,0.046589018,100272,1225,101497,1.010523696,,
193,0.0399,0.9601,0.041558171,291,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.93,836,28,0.998805257,0.001194743,0.00325,0.046589018,100272,1225,101497,1.010523696,,
194,0.0349,0.9651,0.036162056,283,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.94,836,28,0.998805257,0.001194743,0.0028,0.046589018,100272,1225,101497,1.010523696,,
195,0.0299,0.9701,0.030821565,273,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.95,836,28,0.998805257,0.001194743,0.00235,0.046589018,100272,1225,101497,1.010523696,,
196,0.0249,0.9751,0.025535842,263,8356,4200,0.99831852,0.998336106,7,7,4156,4200,0.96,836,28,0.998805257,0.001194743,0.0019,0.046589018,100272,1225,101497,1.010523696,,
197,0.0199,0.9801,0.020304051,249,8370,4207,1,1,0,0,4163,4207,0.97,837,28,1,0,0.00145,0,100440,0,100440,1,,
198,0.0149,0.9851,0.015125368,232,8370,4207,1,1,0,0,4163,4207,0.98,837,28,1,0,0.001,0,100440,0,100440,1,,
199,0.0099,0.9901,0.00999899,208,8370,4207,1,1,0,0,4163,4207,0.99,837,28,1,0,0.00055,0,100440,0,100440,1,,
200,0.0049,0.9951,0.004924128,168,8370,4207,1,1,0,0,4163,4207,1,837,28,1,0,1E-04,0,100440,0,100440,1,,
