,p,p_1,odds,score,no_of_alerts,true_alerts,FPR,TPR,FN,TN,FP,TP,percentage,no_of_alerts_mon,no_of_alerts_days,perc_alerts,perc_savings,type2error,False_alert,FTE_costs,Mis_costs,Tot_costs,Per_of_Current_Cost,,
143,0.2899,0.7101,0.408252359,423,8236,4143,0.983185203,0.984787259,64,70,4093,4143,0.635,824,27,0.984468339,0.015531661,0.02495,0.425956739,98832,11200,110032,1.095499801,,
144,0.2849,0.7151,0.398405817,421,8260,4156,0.985827528,0.987877347,51,59,4104,4156,0.64,826,28,0.986857826,0.013142174,0.02435,0.339434276,99120,8925,108045,1.075716846,,
145,0.2799,0.7201,0.388696014,420,8260,4156,0.985827528,0.987877347,51,59,4104,4156,0.645,826,28,0.986857826,0.013142174,0.02375,0.339434276,99120,8925,108045,1.075716846,,
146,0.2749,0.7251,0.379120121,418,8272,4164,0.986788374,0.98977894,43,55,4108,4164,0.65,827,28,0.988052569,0.011947431,0.02335,0.286189684,99264,7525,106789,1.063211868,,
147,0.2699,0.7301,0.369675387,417,8272,4164,0.986788374,0.98977894,43,55,4108,4164,0.655,827,28,0.988052569,0.011947431,0.02295,0.286189684,99264,7525,106789,1.063211868,,
148,0.2649,0.7351,0.360359135,415,8272,4164,0.986788374,0.98977894,43,55,4108,4164,0.66,827,28,0.988052569,0.011947431,0.02255,0.286189684,99264,7525,106789,1.063211868,,
149,0.2599,0.7401,0.351168761,414,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.665,828,28,0.989247312,0.010752688,0.02215,0.272878536,99408,7175,106583,1.061160892,,
150,0.2549,0.7451,0.342101731,412,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.67,828,28,0.989247312,0.010752688,0.02175,0.272878536,99408,7175,106583,1.061160892,,
151,0.2499,0.7501,0.333155579,411,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.675,828,28,0.989247312,0.010752688,0.02115,0.272878536,99408,7175,106583,1.061160892,,
152,0.2449,0.7551,0.324327904,409,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.68,828,28,0.989247312,0.010752688,0.0208,0.272878536,99408,7175,106583,1.061160892,,
153,0.2399,0.7601,0.315616366,408,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.685,828,28,0.989247312,0.010752688,0.02045,0.272878536,99408,7175,106583,1.061160892,,
154,0.2349,0.7651,0.30701869,406,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.69,828,28,0.989247312,0.010752688,0.0201,0.272878536,99408,7175,106583,1.061160892,,
155,0.2299,0.7701,0.298532658,404,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.695,828,28,0.989247312,0.010752688,0.01975,0.272878536,99408,7175,106583,1.061160892,,
156,0.2249,0.7751,0.290156109,403,8284,4166,0.989190488,0.990254338,41,45,4118,4166,0.7,828,28,0.989247312,0.010752688,0.0194,0.272878536,99408,7175,106583,1.061160892,,
